source_ref,manufacturer,model,carrier_wavelength,units_carrier_wavelength,frequency,units_frequency,unit_length,units_unit_length,manu_ref_refrac_index,c_term,d_term,remark,edm_type,manu_unc_const,units_manu_unc_const,manu_unc_ppm,units_manu_unc_ppm,manu_unc_k,atmos_corr_formula
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Beetle,1000S,,nm,,Hz,10,m,,310,105.5,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Beetle,1600S,,nm,,Hz,10,m,,310,105.5,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Beetle,500S,,nm,,Hz,10,m,,310,105.5,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Citation,CI 410,,nm,14.98348,MHz,10,m,,,,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Citation,CI 450,,nm,14.98348,MHz,10,m,,,,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Com-Rad (Kern),Geomensor,,nm,,Hz,,m,,300,100,,ph,2,mm,2,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Com-Rad (Kern),Mekometer,,nm,,Hz,,m,,300,100,,ph,2,mm,2,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Esser,Autoranger I,,nm,,Hz,,m,,310.4,105.6,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Esser,Autoranger II,,nm,,Hz,,m,,310.4,105.9,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Esser,Autoranger S,,nm,,Hz,,m,,310.4,105.9,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Esser,Ranger IV,,nm,,Hz,,m,,310,107.92,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Esser,Ranger V,,nm,,Hz,,m,,310,107.92,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,8,,nm,29.956,MHz,5,m,,308.6,107.92,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,10,,nm,,Hz,10,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,12,,nm,14.98553,MHz,,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,14,,nm,,Hz,10,m,,275,105.3,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,16,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,76,,nm,,Hz,,m,,280.9,108,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,78,,nm,,Hz,,m,,280.9,108,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,110,,nm,,Hz,10,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,112,,nm,,Hz,10,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,114,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,116,,nm,,Hz,10,m,,275,105.3,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,120,,nm,14.98553,MHz,10,m,,275,106,,ph,10,mm,10,ppm,2,
