From_pillar,to_pillar,Height_of_instrument,Height_of_target,Horizontal_direction(dd),slope_distance,temperature,pressure,humidity
1,2,0.237,0.237,3.14E-01,20.4005,14.4,1018.9,89.7
1,2,0.237,0.237,3.14E-01,20.4005,14.4,1018.9,89.7
1,2,0.237,0.237,0.3136239,20.4006,14.4,1018.9,89.7
1,2,0.237,0.237,3.14E-01,20.4004,14.4,1018.9,89.7
1,3,0.237,0.237,0.05483586,122.3877,14.6,1019,87.2
1,3,0.237,0.237,0.05481936,122.3875,14.6,1019,87.2
1,3,0.237,0.237,0.0547613,122.3875,14.6,1019,87.2
1,3,0.237,0.237,0.05474477,122.3876,14.6,1019,87.2
1,4,0.237,0.237,0.02496214,305.9899,14.4,1019.1,89.2
1,4,0.237,0.237,0.02505117,305.9899,14.4,1019.1,89.2
1,4,0.237,0.237,0.02499239,305.99,14.4,1019.1,89.2
1,4,0.237,0.237,0.02502329,305.99,14.4,1019.1,89.2
1,5,0.237,0.237,0.01958938,448.7901,13.8,1019.1,90.1
1,5,0.237,0.237,0.0196347,448.7901,13.8,1019.1,90.1
1,5,0.237,0.237,0.019421,448.7901,13.8,1019.1,90.1
1,5,0.237,0.237,0.01970956,448.7902,13.8,1019.1,90.1
1,6,0.237,0.237,0.00039249,509.9729,16,1019.2,79.2
1,6,0.237,0.237,0.0002632,509.9728,16,1019.2,79.2
1,6,0.237,0.237,0.00035835,509.9728,16,1019.2,79.2
1,6,0.237,0.237,0,509.9729,16,1019.2,79.2
2,6,0.237,0.237,0.0016912,489.5733,17.5,1019.3,69.1
2,6,0.237,0.237,0.0015132,489.573,17.5,1019.3,69.1
2,6,0.237,0.237,0.00140395,489.5732,17.5,1019.3,69.1
2,6,0.237,0.237,0.00123241,489.5733,17.5,1019.3,69.1
2,6,0.237,0.237,0.00136806,489.573,17.5,1019.3,69.1
2,5,0.237,0.237,0.01956327,428.3894,14.4,1019.3,83.7
2,5,0.237,0.237,0.01966974,428.3892,14.4,1019.3,83.7
2,5,0.237,0.237,0.01971029,428.3893,14.4,1019.3,83.7
2,5,0.237,0.237,0.01952568,428.3892,14.4,1019.3,83.7
2,4,0.237,0.237,0.01827819,285.5891,14.6,1019.3,83
2,4,0.237,0.237,0.01845826,285.5891,14.6,1019.3,83
2,4,0.237,0.237,0.01850217,285.5888,14.6,1019.3,83
2,4,0.237,0.237,0.01841857,285.5889,14.6,1019.3,83
2,3,0.237,0.237,0.0170089,101.9871,14.9,1019.3,76.1
2,3,0.237,0.237,0.01700497,101.987,14.9,1019.3,76.1
2,3,0.237,0.237,0.01704624,101.9869,14.9,1019.3,76.1
2,3,0.237,0.237,0.01710804,101.987,14.9,1019.3,76.1
2,1,0.237,0.237,180.3294553,20.4009,16.4,1019.3,72.7
2,1,0.237,0.237,180.3293843,20.4011,16.4,1019.3,72.7
2,1,0.237,0.237,180.3294211,20.4009,16.4,1019.3,72.7
2,1,0.237,0.237,180.3294425,20.4009,16.4,1019.3,72.7
