Pin No, Readings, No of readings, Standard deviation
1,0.07164,10,0.000000
2,0.16248,10,0.000010
3,0.32641,10,0.000010
4,0.47247,10,0.000000
5,0.68546,10,0.000010
6,0.87153,10,0.000010
7,1.0712,10,0.000010
8,1.27619,10,0.000000
9,1.52332,10,0.000010
10,1.79095,10,0.000010
11,2.12411,10,0.000010
12,2.38785,10,0.000000
13,2.51353,10,0.000010
14,2.64333,10,0.000010
15,2.87191,10,0.000010
16,3.05424,10,0.000010
17,3.20628,10,0.000010
18,3.35954,10,0.000000
19,3.51671,10,0.000010
20,3.66533,10,0.000000
21,3.87501,10,0.000010
