source_ref,manufacturer,model,carrier_wavelength,units_carrier_wavelength,frequency,units_frequency,unit_length,units_unit_length,manu_ref_refrac_index,c_term,d_term,remark,edm_type,manu_unc_const,units_manu_unc_const,manu_unc_ppm,units_manu_unc_ppm,manu_unc_k
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 6A,550,nm,29970000,Hz,5,m,1.0003092,309.2,82.15,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 6BL,632.8,nm,29970000,Hz,5,m,1.0003086,308.6,81,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 8,632.8,nm,29970000,Hz,5,m,1.0003086,308.6,81,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 710,632.8,nm,29970000,Hz,5,m,1.0003086,308.6,81,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 10,910,nm,14985530,Hz,10,m,1.000275,275,79.6,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 12A,910,nm,14985530,Hz,10,m,1.000275,275,79.6,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 14,910,nm,14985530,Hz,10,m,1.000275,275,79.6,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 120,910,nm,14985530,Hz,10,m,1.000275,275,79.6,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 14A,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 110/110A,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,,,,,,
