

 _____________________________________________________________________________________________
|                                                                                            |
| Date    : 11/10/18                                           Level Type  : Leica LS15      |
| Job     : 20181011BOYA                                        Serial Number: 702272          |
| Surveyor: TC                                                      Inst No:                 |
|____________________________________________________________________________________________|

|____________________________________________________________________________________________|

 ____________________________________________________________________________________________
| Line: LINE00001   Staff No  26296         Temp: 23 Degrees       11/10/2018  10:20           |
|____________________________________________________________________________________________|
|    BS    |   INT    |    FS    |   DIST   | TOTAL DIST |  ELEV   | NR |   STD  |  PT ID    |
|__________|__________|__________|__________|____________|_________| MS |___DEV__|___________|
|   0.07438|          |          |      9.98|            |  0.00000| 10 | 0.00001|          1 |
|          |   0.16526|          |     9.971|            |  -0.09088|    | 0.00001|         2 |
|          |   0.32926|          |     9.982|            |  -0.25488|    | 0.00001|         3 |
|          |   0.47515|          |     9.971|            |  -0.40077|    | 0.00001|         4 |
|          |   0.68845|          |     9.984|            |  -0.61407|    | 0.00001|         5 |
|          |   0.87459|          |     9.976|            |  -0.80021|    | 0.00001|         6 |
|          |   1.07426|          |     9.981|            |  -0.99988|    | 0.00001|         7 |
|          |   1.27928|          |     9.967|            |  -1.20490|    | 0.00001|         8 |
|          |   1.52619|          |     9.970|            |  -1.45181|    | 0.00001|         9 |
|          |   1.79379|          |     9.965|            |  -1.71941|    | 0.00001|        10 |
|          |   2.12681|          |     9.998|            |  -2.05243|    | 0.00001|        11 |
|          |   2.39067|          |     9.984|            |  -2.31629|    | 0.00001|        12 |
|          |   2.51646|          |     9.988|            |  -2.44208|    | 0.00001|        13 |
|          |   2.64622|          |     9.971|            |  -2.57184|    | 0.00001|        14 |
|          |          |   2.87475|      9.97|            | -2.80037| 10 | 0.00001|        15 |
|          |          |          |          |      19.95 |         |    |        |           |
|____________________________________________________________________________________________|

 ____________________________________________________________________________________________
| Line: LINE00002   Staff No  26296       Temp: 23 Degrees       11/10/2018  10:55           |
|____________________________________________________________________________________________|
|    BS    |   INT    |    FS    |   DIST   | TOTAL DIST |  ELEV   | NR |   STD  |  PT ID    |
|__________|__________|__________|__________|____________|_________| MS |___DEV__|___________|
|   0.08006|          |          |      8.86|            |  0.00000| 10 | 0.00002|         7 |
|          |   0.28502|          |     8.822|            |  -0.20496|    | 0.00001|         8 |
|          |   0.53193|          |     8.807|            |  -0.45187|    | 0.00001|         9 |
|          |   0.79954|          |     8.784|            |  -0.71947|    | 0.00001|        10 |
|          |   1.13258|          |     8.787|            |  -1.05252|    | 0.00001|        11 |
|          |   1.39638|          |     8.785|            |  -1.31631|    | 0.00001|        12 |
|          |   1.52222|          |     8.772|            |  -1.44216|    | 0.00001|        13 |
|          |   1.65195|          |     8.770|            |  -1.57188|    | 0.00001|        14 |
|          |   1.88051|          |     8.775|            |  -1.80045|    | 0.00002|        15 |
|          |   2.06283|          |     8.774|            |  -1.98277|    | 0.00001|        16 |
|          |   2.21464|          |     8.773|            |  -2.13457|    | 0.00001|        17 |
|          |   2.36797|          |     8.777|            |  -2.28791|    | 0.00001|        18 |
|          |   2.52506|          |     8.809|            |  -2.44500|    | 0.00002|        19 |
|          |   2.67373|          |     8.832|            |  -2.59367|    | 0.00001|        20 |
|          |          |   2.88334|      8.87|            | -2.80327| 10 | 0.00001|        21 |
|          |          |          |          |      17.73 |         |    |        |           |












