Suburb,Post Code,State,State Code
Barton,2600,Australian Capital Territory,ACT
Capital Hill,2600,Australian Capital Territory,ACT
Deakin,2600,Australian Capital Territory,ACT
Parkes ,2600,Australian Capital Territory,ACT
Russell,2600,Australian Capital Territory,ACT
Yarralumla,2600,Australian Capital Territory,ACT
ACT Remainder - Canberra Central,2601,Australian Capital Territory,ACT
Acton ,2601,Australian Capital Territory,ACT
City,2601,Australian Capital Territory,ACT
Yarralumla,2601,Australian Capital Territory,ACT
Ainslie,2602,Australian Capital Territory,ACT
Dickson,2602,Australian Capital Territory,ACT
Downer,2602,Australian Capital Territory,ACT
Hackett,2602,Australian Capital Territory,ACT
Lyneham,2602,Australian Capital Territory,ACT
O'Connor ,2602,Australian Capital Territory,ACT
Watson,2602,Australian Capital Territory,ACT
Forrest ,2603,Australian Capital Territory,ACT
Griffith ,2603,Australian Capital Territory,ACT
Red Hill ,2603,Australian Capital Territory,ACT
Kingston ,2604,Australian Capital Territory,ACT
Narrabundah,2604,Australian Capital Territory,ACT
Curtin,2605,Australian Capital Territory,ACT
Garran,2605,Australian Capital Territory,ACT
Hughes ,2605,Australian Capital Territory,ACT
Chifley ,2606,Australian Capital Territory,ACT
Lyons ,2606,Australian Capital Territory,ACT
O'Malley,2606,Australian Capital Territory,ACT
Phillip,2606,Australian Capital Territory,ACT
Farrer,2607,Australian Capital Territory,ACT
Isaacs,2607,Australian Capital Territory,ACT
Mawson,2607,Australian Capital Territory,ACT
Pearce,2607,Australian Capital Territory,ACT
Torrens,2607,Australian Capital Territory,ACT
Canberra Airport,2609,Australian Capital Territory,ACT
Fyshwick,2609,Australian Capital Territory,ACT
Pialligo,2609,Australian Capital Territory,ACT
Symonston,2609,Australian Capital Territory,ACT
ACT Remainder - Belconnen,2611,Australian Capital Territory,ACT
ACT Remainder - Molonglo Valley,2611,Australian Capital Territory,ACT
ACT Remainder - Stromlo,2611,Australian Capital Territory,ACT
ACT Remainder - Weston Creek,2611,Australian Capital Territory,ACT
Chapman,2611,Australian Capital Territory,ACT
Coombs,2611,Australian Capital Territory,ACT
Denman Prospect,2611,Australian Capital Territory,ACT
Duffy,2611,Australian Capital Territory,ACT
Fisher ,2611,Australian Capital Territory,ACT
Holder ,2611,Australian Capital Territory,ACT
Molonglo,2611,Australian Capital Territory,ACT
Rivett,2611,Australian Capital Territory,ACT
Stirling ,2611,Australian Capital Territory,ACT
Uriarra Village,2611,Australian Capital Territory,ACT
Waramanga,2611,Australian Capital Territory,ACT
Weston ,2611,Australian Capital Territory,ACT
Whitlam,2611,Australian Capital Territory,ACT
Wright,2611,Australian Capital Territory,ACT
Braddon,2612,Australian Capital Territory,ACT
Campbell,2612,Australian Capital Territory,ACT
Reid ,2612,Australian Capital Territory,ACT
Turner,2612,Australian Capital Territory,ACT
Aranda,2614,Australian Capital Territory,ACT
Cook,2614,Australian Capital Territory,ACT
Hawker ,2614,Australian Capital Territory,ACT
Macquarie,2614,Australian Capital Territory,ACT
Page,2614,Australian Capital Territory,ACT
Scullin,2614,Australian Capital Territory,ACT
Weetangera,2614,Australian Capital Territory,ACT
Charnwood,2615,Australian Capital Territory,ACT
Dunlop,2615,Australian Capital Territory,ACT
Florey,2615,Australian Capital Territory,ACT
Flynn ,2615,Australian Capital Territory,ACT
Fraser,2615,Australian Capital Territory,ACT
Higgins,2615,Australian Capital Territory,ACT
Holt,2615,Australian Capital Territory,ACT
Latham ,2615,Australian Capital Territory,ACT
Macgregor ,2615,Australian Capital Territory,ACT
Melba,2615,Australian Capital Territory,ACT
Spence ,2615,Australian Capital Territory,ACT
Strathnairn,2615,Australian Capital Territory,ACT
ACT Remainder - Belconnen,2617,Australian Capital Territory,ACT
Belconnen,2617,Australian Capital Territory,ACT
Bruce ,2617,Australian Capital Territory,ACT
Evatt,2617,Australian Capital Territory,ACT
Giralang,2617,Australian Capital Territory,ACT
Kaleen,2617,Australian Capital Territory,ACT
Lawson ,2617,Australian Capital Territory,ACT
McKellar,2617,Australian Capital Territory,ACT
ACT Remainder - Belconnen,2618,Australian Capital Territory,ACT
ACT Remainder - Paddys River,2620,Australian Capital Territory,ACT
Tharwa,2620,Australian Capital Territory,ACT
Greenway,2900,Australian Capital Territory,ACT
Kambah,2902,Australian Capital Territory,ACT
Oxley ,2903,Australian Capital Territory,ACT
Wanniassa,2903,Australian Capital Territory,ACT
Fadden,2904,Australian Capital Territory,ACT
Gowrie ,2904,Australian Capital Territory,ACT
Macarthur ,2904,Australian Capital Territory,ACT
Monash ,2904,Australian Capital Territory,ACT
Bonython,2905,Australian Capital Territory,ACT
Calwell,2905,Australian Capital Territory,ACT
Chisholm ,2905,Australian Capital Territory,ACT
Gilmore ,2905,Australian Capital Territory,ACT
Isabella Plains,2905,Australian Capital Territory,ACT
Richardson,2905,Australian Capital Territory,ACT
Theodore ,2905,Australian Capital Territory,ACT
Banks,2906,Australian Capital Territory,ACT
Conder,2906,Australian Capital Territory,ACT
Gordon ,2906,Australian Capital Territory,ACT
Crace,2911,Australian Capital Territory,ACT
Mitchell ,2911,Australian Capital Territory,ACT
Forde,2912,Australian Capital Territory,ACT
Gungahlin,2912,Australian Capital Territory,ACT
Casey,2913,Australian Capital Territory,ACT
Franklin ,2913,Australian Capital Territory,ACT
Ngunnawal,2913,Australian Capital Territory,ACT
Nicholls,2913,Australian Capital Territory,ACT
Palmerston ,2913,Australian Capital Territory,ACT
Taylor,2913,Australian Capital Territory,ACT
Amaroo ,2914,Australian Capital Territory,ACT
Bonner,2914,Australian Capital Territory,ACT
Forde,2914,Australian Capital Territory,ACT
Harrison,2914,Australian Capital Territory,ACT
Jacka,2914,Australian Capital Territory,ACT
Moncrieff,2914,Australian Capital Territory,ACT
Throsby,2914,Australian Capital Territory,ACT
ACT Remainder - Jerrabomberra,2600,Australian Capital Territory,ACT
ACT Remainder - Jerrabomberra,2609,Australian Capital Territory,ACT
ACT Remainder - Majura,2609,Australian Capital Territory,ACT
ACT Remainder - Coree,2611,Australian Capital Territory,ACT
ACT Remainder - Cotter River,2611,Australian Capital Territory,ACT
Macnamara,2615,Australian Capital Territory,ACT
ACT Remainder - Gungahlin,2618,Australian Capital Territory,ACT
ACT Remainder - Hall,2618,Australian Capital Territory,ACT
Hall,2618,Australian Capital Territory,ACT
ACT Remainder - Booth,2620,Australian Capital Territory,ACT
ACT Remainder - Jerrabomberra,2620,Australian Capital Territory,ACT
ACT Remainder - Kowen,2620,Australian Capital Territory,ACT
ACT Remainder - Rendezvous Creek,2620,Australian Capital Territory,ACT
Beard,2620,Australian Capital Territory,ACT
Hume,2620,Australian Capital Territory,ACT
Oaks Estate,2620,Australian Capital Territory,ACT
ACT Remainder - Tuggeranong,2900,Australian Capital Territory,ACT
ACT Remainder - Gungahlin,2912,Australian Capital Territory,ACT
Haymarket,2000,New South Wales,NSW
Ultimo,2007,New South Wales,NSW
Chippendale,2008,New South Wales,NSW
Darlington - Sydney,2008,New South Wales,NSW
Darlinghurst,2010,New South Wales,NSW
Surry Hills,2010,New South Wales,NSW
Rushcutters Bay,2011,New South Wales,NSW
Alexandria,2015,New South Wales,NSW
Beaconsfield ,2015,New South Wales,NSW
Eveleigh,2015,New South Wales,NSW
Redfern,2016,New South Wales,NSW
Waterloo ,2017,New South Wales,NSW
Zetland,2017,New South Wales,NSW
Eastlakes,2018,New South Wales,NSW
Rosebery ,2018,New South Wales,NSW
Centennial Park ,2021,New South Wales,NSW
Moore Park,2021,New South Wales,NSW
Paddington ,2021,New South Wales,NSW
Bondi Junction,2022,New South Wales,NSW
Queens Park ,2022,New South Wales,NSW
Bellevue Hill,2023,New South Wales,NSW
Waverley ,2024,New South Wales,NSW
Woollahra,2025,New South Wales,NSW
Edgecliff,2027,New South Wales,NSW
Randwick,2031,New South Wales,NSW
Daceyville,2032,New South Wales,NSW
Kingsford ,2032,New South Wales,NSW
Kensington ,2033,New South Wales,NSW
Pagewood,2035,New South Wales,NSW
Chifley ,2036,New South Wales,NSW
Eastgardens,2036,New South Wales,NSW
Hillsdale,2036,New South Wales,NSW
Matraville,2036,New South Wales,NSW
Forest Lodge,2037,New South Wales,NSW
Leichhardt ,2040,New South Wales,NSW
Enmore - Inner West,2042,New South Wales,NSW
Marrickville,2042,New South Wales,NSW
Newtown ,2042,New South Wales,NSW
Erskineville,2043,New South Wales,NSW
St Peters ,2044,New South Wales,NSW
Sydenham ,2044,New South Wales,NSW
Tempe,2044,New South Wales,NSW
Wareemba,2046,New South Wales,NSW
Stanmore ,2048,New South Wales,NSW
Lewisham ,2049,New South Wales,NSW
Petersham,2049,New South Wales,NSW
Camperdown ,2050,New South Wales,NSW
Artarmon,2064,New South Wales,NSW
Crows Nest ,2065,New South Wales,NSW
Naremburn,2065,New South Wales,NSW
St Leonards ,2065,New South Wales,NSW
Lane Cove,2066,New South Wales,NSW
Lane Cove North,2066,New South Wales,NSW
Chatswood,2067,New South Wales,NSW
Chatswood West,2067,New South Wales,NSW
North Willoughby,2068,New South Wales,NSW
Willoughby ,2068,New South Wales,NSW
Willoughby East,2068,New South Wales,NSW
Roseville,2069,New South Wales,NSW
East Lindfield,2070,New South Wales,NSW
Lindfield,2070,New South Wales,NSW
East Killara,2071,New South Wales,NSW
Killara ,2071,New South Wales,NSW
Gordon ,2072,New South Wales,NSW
Pymble,2073,New South Wales,NSW
West Pymble,2073,New South Wales,NSW
North Turramurra,2074,New South Wales,NSW
South Turramurra,2074,New South Wales,NSW
Turramurra,2074,New South Wales,NSW
Warrawee,2074,New South Wales,NSW
St Ives ,2075,New South Wales,NSW
St Ives Chase,2075,New South Wales,NSW
Normanhurst,2076,New South Wales,NSW
North Wahroonga,2076,New South Wales,NSW
Wahroonga,2076,New South Wales,NSW
